pitch_type,px,pz,des,num,gameday_link,start_speed,spin_dir,spin_rate,pfx_x,pfx_z,type,pitcher_name,event,stand
FF,0.089,2.75,Called Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,90.1,187.266,3054.347,-1.95,15.25,S,Clayton Kershaw,Strikeout,L
FF,0.083,2.721,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,158.575,3182.337,6.03,15.34,S,Clayton Kershaw,Strikeout,L
FF,-2.651,2.69,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,91.3,206.39,3518.287,-7.79,15.66,B,Clayton Kershaw,Strikeout,L
CU,-0.644,-0.231,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,73.5,353.587,1313.787,-0.96,-8.57,B,Clayton Kershaw,Strikeout,L
FF,0.642,4.521,Ball,7,gid_2016_04_04_lanmlb_sdnmlb_1,93.1,179.929,2169.652,0.01,10.73,B,Clayton Kershaw,Strikeout,L
FF,-1.41,2.327,Swinging Strike,7,gid_2016_04_04_lanmlb_sdnmlb_1,94.3,154.999,2544.767,5.55,11.87,S,Clayton Kershaw,Strikeout,L
FF,-0.839,1.85,Called Strike,8,gid_2016_04_04_lanmlb_sdnmlb_1,93.3,168.395,2852.454,2.86,13.87,S,Clayton Kershaw,Flyout,R
CU,0.446,1.644,Ball,8,gid_2016_04_04_lanmlb_sdnmlb_1,72.3,354.386,964.367,-0.62,-6.34,B,Clayton Kershaw,Flyout,R
FF,1.159,2.461,Ball,8,gid_2016_04_04_lanmlb_sdnmlb_1,93,160.312,2360.226,4.03,11.21,B,Clayton Kershaw,Flyout,R
CH,0.279,3.034,"In play, out(s)",8,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,139.512,3216.24,10.73,12.53,X,Clayton Kershaw,Flyout,R
SL,0.566,1.983,Ball,9,gid_2016_04_04_lanmlb_sdnmlb_1,87.3,190.594,754.599,-0.74,3.89,B,Clayton Kershaw,Groundout,R
FF,-0.218,2.716,"In play, out(s)",9,gid_2016_04_04_lanmlb_sdnmlb_1,94.6,137.641,3764.92,13.06,14.29,X,Clayton Kershaw,Groundout,R
FF,-0.147,3.199,Called Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,169.564,2770.656,2.57,13.89,S,Clayton Kershaw,Strikeout,R
SL,-0.356,2.544,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.3,192.259,1221.839,-1.4,6.41,S,Clayton Kershaw,Strikeout,R
FF,0.243,3.324,Foul,13,gid_2016_04_04_lanmlb_sdnmlb_1,91.7,174.689,3120.657,1.49,15.96,S,Clayton Kershaw,Strikeout,R
CH,-0.254,0.735,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,89.7,142.534,1972.075,6.32,8.2,B,Clayton Kershaw,Strikeout,R
SL,0.046,3.862,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.7,178.611,692.697,0.09,3.6,B,Clayton Kershaw,Strikeout,R
CU,1.054,1.598,Ball,13,gid_2016_04_04_lanmlb_sdnmlb_1,72.5,21.107,1619.25,3.75,-9.79,B,Clayton Kershaw,Strikeout,R
SL,0.133,1.902,Swinging Strike,13,gid_2016_04_04_lanmlb_sdnmlb_1,87.9,144.253,343.002,1.05,1.41,S,Clayton Kershaw,Strikeout,R
FF,-1.031,2.078,"In play, out(s)",14,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,159.256,2367.182,4.22,11.09,X,Clayton Kershaw,Groundout,R
FF,-1.4,3.162,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,93.2,168.975,2059.598,2.01,10.28,B,Clayton Kershaw,Walk,R
FF,0.215,1.641,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,93.4,160.343,2576.687,4.34,12.1,B,Clayton Kershaw,Walk,R
CH,0.352,2.13,Called Strike,15,gid_2016_04_04_lanmlb_sdnmlb_1,92.9,149.44,2517.013,6.38,10.76,S,Clayton Kershaw,Walk,R
SL,0.159,0.902,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,87.8,145.331,677.443,2.04,2.91,B,Clayton Kershaw,Walk,R
FF,-1.286,2.225,Ball,15,gid_2016_04_04_lanmlb_sdnmlb_1,94.2,167.537,2752.108,2.98,13.43,B,Clayton Kershaw,Walk,R
FF,-0.263,3.103,Foul,16,gid_2016_04_04_lanmlb_sdnmlb_1,93.5,157.589,3040.419,5.87,14.18,S,Clayton Kershaw,Lineout,R
CH,-0.747,2.295,"In play, out(s)",16,gid_2016_04_04_lanmlb_sdnmlb_1,93,146.351,2578.271,7.3,10.93,X,Clayton Kershaw,Lineout,R
FF,-0.616,3.389,Swinging Strike,23,gid_2016_04_04_lanmlb_sdnmlb_1,90.5,182.239,2621.918,-0.53,13.54,S,Clayton Kershaw,Groundout,L
CU,0.149,0.773,Ball,23,gid_2016_04_04_lanmlb_sdnmlb_1,72.5,4.623,1773.493,0.94,-11.69,B,Clayton Kershaw,Groundout,L
FF,-0.025,2.033,Called Strike,23,gid_2016_04_04_lanmlb_sdnmlb_1,92.2,172.136,2809.041,1.94,14,S,Clayton Kershaw,Groundout,L
SL,-0.306,1.581,"In play, out(s)",23,gid_2016_04_04_lanmlb_sdnmlb_1,87.7,181.72,797.098,-0.13,4.19,X,Clayton Kershaw,Groundout,L
FF,-0.785,1.235,Ball,24,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,170.427,2245.299,1.92,11.33,B,Clayton Kershaw,Strikeout,R
FF,0.66,2.04,Ball,24,gid_2016_04_04_lanmlb_sdnmlb_1,92,160.271,2514.799,4.32,12.01,B,Clayton Kershaw,Strikeout,R
FF,0.435,1.69,Called Strike,24,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,172.333,2656.009,1.8,13.34,S,Clayton Kershaw,Strikeout,R
FF,-0.631,1.829,Swinging Strike,24,gid_2016_04_04_lanmlb_sdnmlb_1,92.1,177.143,2150.348,0.55,10.95,S,Clayton Kershaw,Strikeout,R
FF,0.188,1.781,Called Strike,24,gid_2016_04_04_lanmlb_sdnmlb_1,93,157.032,2435.216,4.83,11.34,S,Clayton Kershaw,Strikeout,R
FF,0.315,2.196,Called Strike,25,gid_2016_04_04_lanmlb_sdnmlb_1,93.3,171.98,2323.947,1.62,11.45,S,Clayton Kershaw,Single,L
CU,-0.809,0.319,Ball,25,gid_2016_04_04_lanmlb_sdnmlb_1,73.2,357.078,1625.93,-0.54,-10.57,B,Clayton Kershaw,Single,L
SL,-1.022,1.338,Ball,25,gid_2016_04_04_lanmlb_sdnmlb_1,86.6,191.893,371.661,-0.42,1.93,B,Clayton Kershaw,Single,L
SL,-0.643,1.178,Ball,25,gid_2016_04_04_lanmlb_sdnmlb_1,84.7,188.695,554.335,-0.46,2.98,B,Clayton Kershaw,Single,L
FF,0.132,1.839,Called Strike,25,gid_2016_04_04_lanmlb_sdnmlb_1,93.3,177.815,2579.077,0.5,13,S,Clayton Kershaw,Single,L
FF,-0.661,2.709,"In play, no out",25,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,171.78,2372.003,1.72,11.84,X,Clayton Kershaw,Single,L
FF,-1.29,2.83,"In play, out(s)",26,gid_2016_04_04_lanmlb_sdnmlb_1,93.6,175.494,2804.728,1.12,14.17,X,Clayton Kershaw,Lineout,R
FF,-0.292,2.419,Called Strike,30,gid_2016_04_04_lanmlb_sdnmlb_1,92.5,172.126,2536.806,1.76,12.71,S,Clayton Kershaw,Strikeout,R
CU,0.28,3.335,Called Strike,30,gid_2016_04_04_lanmlb_sdnmlb_1,71.8,2.686,1972.87,0.61,-13.13,S,Clayton Kershaw,Strikeout,R
SL,0.866,3.362,Ball,30,gid_2016_04_04_lanmlb_sdnmlb_1,87.5,183.872,1160.458,-0.42,6.14,B,Clayton Kershaw,Strikeout,R
SL,-0.624,2.148,Swinging Strike,30,gid_2016_04_04_lanmlb_sdnmlb_1,87.6,176.127,676.115,0.24,3.54,S,Clayton Kershaw,Strikeout,R
SL,-0.086,2.888,Called Strike,31,gid_2016_04_04_lanmlb_sdnmlb_1,87,175.86,1236.997,0.48,6.61,S,Clayton Kershaw,Flyout,R
FF,-1.67,2.306,Ball,31,gid_2016_04_04_lanmlb_sdnmlb_1,93.1,176.414,2520.324,0.8,12.65,B,Clayton Kershaw,Flyout,R
SL,0.336,1.329,Ball,31,gid_2016_04_04_lanmlb_sdnmlb_1,86.6,178.72,726.586,0.09,3.84,B,Clayton Kershaw,Flyout,R
FF,-1.021,2.354,"In play, out(s)",31,gid_2016_04_04_lanmlb_sdnmlb_1,92.9,173.162,2322.988,1.4,11.64,X,Clayton Kershaw,Flyout,R
FF,-0.232,2.367,Called Strike,32,gid_2016_04_04_lanmlb_sdnmlb_1,93,171.395,2719.121,2.05,13.51,S,Clayton Kershaw,Strikeout,R
CU,0.279,2.414,Called Strike,32,gid_2016_04_04_lanmlb_sdnmlb_1,71.6,-0.002,1753.626,0,-11.66,S,Clayton Kershaw,Strikeout,R
CU,-0.173,-1.092,Ball,32,gid_2016_04_04_lanmlb_sdnmlb_1,72.8,6.874,1833.309,1.45,-12.1,B,Clayton Kershaw,Strikeout,R
FF,0.848,2.299,Called Strike,32,gid_2016_04_04_lanmlb_sdnmlb_1,93.7,182.212,2429.591,-0.47,12.09,S,Clayton Kershaw,Strikeout,R
FF,0.536,2.295,Called Strike,36,gid_2016_04_04_lanmlb_sdnmlb_1,91.2,175.388,2710.205,1.12,13.81,S,Clayton Kershaw,Lineout,R
CU,0.309,1.175,Ball,36,gid_2016_04_04_lanmlb_sdnmlb_1,71.6,358.038,1635.954,-0.37,-10.94,B,Clayton Kershaw,Lineout,R
SL,-1.079,1.653,"In play, out(s)",36,gid_2016_04_04_lanmlb_sdnmlb_1,84.8,186.047,1117.459,-0.65,6.12,X,Clayton Kershaw,Lineout,R
FF,-1.503,1.951,Swinging Strike,37,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,175.885,2255.962,0.83,11.53,S,Clayton Kershaw,Strikeout,R
FF,-0.883,2.499,Foul,37,gid_2016_04_04_lanmlb_sdnmlb_1,91.2,173.627,2355.138,1.35,12.01,S,Clayton Kershaw,Strikeout,R
FF,0.023,1.255,Ball,37,gid_2016_04_04_lanmlb_sdnmlb_1,91.7,167.387,2446.319,2.75,12.22,B,Clayton Kershaw,Strikeout,R
CU,0.217,1.189,Foul,37,gid_2016_04_04_lanmlb_sdnmlb_1,73.2,2.301,1766.581,0.47,-11.76,S,Clayton Kershaw,Strikeout,R
CU,-0.315,-0.395,Ball,37,gid_2016_04_04_lanmlb_sdnmlb_1,73.3,7.667,1646.085,1.44,-10.75,B,Clayton Kershaw,Strikeout,R
SL,-0.328,1.851,Foul,37,gid_2016_04_04_lanmlb_sdnmlb_1,87,178.383,943.093,0.14,5.04,S,Clayton Kershaw,Strikeout,R
SL,-0.639,1.091,Swinging Strike,37,gid_2016_04_04_lanmlb_sdnmlb_1,87.2,190.486,194.238,-0.19,1,S,Clayton Kershaw,Strikeout,R
FF,-1.799,3.337,Ball,38,gid_2016_04_04_lanmlb_sdnmlb_1,93,167.032,2496.469,2.84,12.29,B,Clayton Kershaw,Strikeout,L
FF,-0.195,1.531,Ball,38,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,166.474,3184.04,3.8,15.74,B,Clayton Kershaw,Strikeout,L
FF,0.001,2.263,Foul,38,gid_2016_04_04_lanmlb_sdnmlb_1,92.8,163.725,2547.354,3.65,12.45,S,Clayton Kershaw,Strikeout,L
FF,-0.76,1.312,Ball,38,gid_2016_04_04_lanmlb_sdnmlb_1,92.7,172.894,2348.382,1.46,11.68,B,Clayton Kershaw,Strikeout,L
FF,-1.315,1.607,Swinging Strike,38,gid_2016_04_04_lanmlb_sdnmlb_1,92.5,171.554,2215.014,1.64,11.04,S,Clayton Kershaw,Strikeout,L
FF,0.191,3.038,Swinging Strike,38,gid_2016_04_04_lanmlb_sdnmlb_1,93,166.19,2194.874,2.68,10.85,S,Clayton Kershaw,Strikeout,L
FF,-0.769,3.314,Called Strike,48,gid_2016_04_04_lanmlb_sdnmlb_1,91.6,166.566,2446.196,2.95,12.3,S,Clayton Kershaw,Groundout,R
FF,0.133,3.064,Called Strike,48,gid_2016_04_04_lanmlb_sdnmlb_1,91.2,169.292,2658.913,2.57,13.53,S,Clayton Kershaw,Groundout,R
FF,0.03,2.021,"In play, out(s)",48,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,170.016,2504.993,2.26,12.8,X,Clayton Kershaw,Groundout,R
FF,-0.326,3.973,Ball,49,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,172.212,2422.83,1.68,12.21,B,Clayton Kershaw,Groundout,L
FF,-0.285,2.298,Called Strike,49,gid_2016_04_04_lanmlb_sdnmlb_1,91.2,178.507,2278.299,0.31,11.76,S,Clayton Kershaw,Groundout,L
FF,0.202,2.001,Called Strike,49,gid_2016_04_04_lanmlb_sdnmlb_1,90.9,176.524,2268.299,0.7,11.46,S,Clayton Kershaw,Groundout,L
CU,0.299,2.724,"In play, out(s)",49,gid_2016_04_04_lanmlb_sdnmlb_1,72.2,356.47,1766.094,-0.71,-11.57,X,Clayton Kershaw,Groundout,L
FF,-0.151,3.312,Called Strike,50,gid_2016_04_04_lanmlb_sdnmlb_1,92.4,176.666,2558.224,0.75,12.88,S,Clayton Kershaw,Flyout,R
CU,-0.544,2.22,Called Strike,50,gid_2016_04_04_lanmlb_sdnmlb_1,73.1,6.966,1554.64,1.22,-10.03,S,Clayton Kershaw,Flyout,R
SL,1.658,3.453,Ball,50,gid_2016_04_04_lanmlb_sdnmlb_1,86.1,171.109,1140.102,0.95,6.05,B,Clayton Kershaw,Flyout,R
SL,0.978,2.728,Ball,50,gid_2016_04_04_lanmlb_sdnmlb_1,84.2,192.132,582.038,-0.68,3.1,B,Clayton Kershaw,Flyout,R
FF,0.048,2.89,"In play, out(s)",50,gid_2016_04_04_lanmlb_sdnmlb_1,91.5,167.169,2166.814,2.45,10.73,X,Clayton Kershaw,Flyout,R
FF,-0.174,2.957,Called Strike,59,gid_2016_04_04_lanmlb_sdnmlb_1,90.3,181.362,2222.094,-0.28,11.58,S,Clayton Kershaw,Strikeout,R
SL,-0.399,1.653,Foul,59,gid_2016_04_04_lanmlb_sdnmlb_1,85.1,229.633,563.544,-2.37,1.97,S,Clayton Kershaw,Strikeout,R
CU,0.717,1.193,Ball,59,gid_2016_04_04_lanmlb_sdnmlb_1,71.6,6.853,1775.894,1.42,-11.85,B,Clayton Kershaw,Strikeout,R
FF,0.257,2.032,Called Strike,59,gid_2016_04_04_lanmlb_sdnmlb_1,92.3,163.544,2681.496,3.92,13.24,S,Clayton Kershaw,Strikeout,R
FF,-1.216,2.407,Called Strike,60,gid_2016_04_04_lanmlb_sdnmlb_1,91.6,175.241,2642.884,1.13,13.53,S,Clayton Kershaw,Flyout,R
CU,0.158,3.103,Called Strike,60,gid_2016_04_04_lanmlb_sdnmlb_1,71.9,9.034,2022.234,2.13,-13.44,S,Clayton Kershaw,Flyout,R
FF,1.083,2.604,Ball,60,gid_2016_04_04_lanmlb_sdnmlb_1,92.2,162.774,2890.712,4.4,14.14,B,Clayton Kershaw,Flyout,R
SL,-0.534,1.679,"In play, out(s)",60,gid_2016_04_04_lanmlb_sdnmlb_1,87,187.253,746.546,-0.51,3.97,X,Clayton Kershaw,Flyout,R
FF,-0.239,1.952,Called Strike,61,gid_2016_04_04_lanmlb_sdnmlb_1,91.7,161.041,3146.103,5.25,15.24,S,Clayton Kershaw,Strikeout,R
CH,1.101,1.515,Ball,61,gid_2016_04_04_lanmlb_sdnmlb_1,85.1,137.865,2896.298,10.63,11.7,B,Clayton Kershaw,Strikeout,R
CH,1.11,1.415,Swinging Strike,61,gid_2016_04_04_lanmlb_sdnmlb_1,85.6,136.171,2810.053,10.68,11.08,S,Clayton Kershaw,Strikeout,R
CU,0.19,2.289,Foul,61,gid_2016_04_04_lanmlb_sdnmlb_1,72.4,9.604,1905.728,2.1,-12.49,S,Clayton Kershaw,Strikeout,R
CU,-0.119,1.475,Swinging Strike,61,gid_2016_04_04_lanmlb_sdnmlb_1,72.8,5.777,1812.996,1.19,-11.84,S,Clayton Kershaw,Strikeout,R
FF,-0.31,1.17,Ball,7,gid_2016_04_09_lanmlb_sfnmlb_1,91.5,173.024,2384.886,1.47,11.94,B,Clayton Kershaw,Groundout,L
FF,0.28,3.12,Called Strike,7,gid_2016_04_09_lanmlb_sfnmlb_1,92.1,171.955,2228.279,1.57,11.12,S,Clayton Kershaw,Groundout,L
SL,0.18,1.5,"In play, out(s)",7,gid_2016_04_09_lanmlb_sfnmlb_1,88.2,166.675,1218.56,1.48,6.19,X,Clayton Kershaw,Groundout,L
FF,-0.33,1.83,Called Strike,8,gid_2016_04_09_lanmlb_sfnmlb_1,91.5,166.813,2390.733,2.75,11.69,S,Clayton Kershaw,Single,R
FF,-0.68,2.49,Foul,8,gid_2016_04_09_lanmlb_sfnmlb_1,91.7,168.525,2380.568,2.39,11.72,S,Clayton Kershaw,Single,R
SL,0.72,2.53,"In play, no out",8,gid_2016_04_09_lanmlb_sfnmlb_1,87.7,198.583,1037.786,-1.73,5.09,X,Clayton Kershaw,Single,R
SL,0.21,1.72,Swinging Strike,9,gid_2016_04_09_lanmlb_sfnmlb_1,88.1,164.13,1299.261,1.86,6.52,S,Clayton Kershaw,Flyout,R
CU,0.28,2.31,"In play, out(s)",9,gid_2016_04_09_lanmlb_sfnmlb_1,72.8,356.716,1682.577,-0.62,-10.83,X,Clayton Kershaw,Flyout,R
FF,0.15,2.63,Ball,10,gid_2016_04_09_lanmlb_sfnmlb_1,91.7,171.073,2220.916,1.75,11.11,B,Clayton Kershaw,Walk,R
FF,-0.27,3.41,Ball,10,gid_2016_04_09_lanmlb_sfnmlb_1,91.6,170.767,1898.763,1.53,9.39,B,Clayton Kershaw,Walk,R
SL,-0.1,1.48,Ball,10,gid_2016_04_09_lanmlb_sfnmlb_1,87.2,185.921,1300.342,-0.7,6.74,B,Clayton Kershaw,Walk,R
FF,-0.49,1.43,Ball,10,gid_2016_04_09_lanmlb_sfnmlb_1,92.3,171.82,2486.18,1.79,12.37,B,Clayton Kershaw,Walk,R
SL,0.04,0.69,Ball In Dirt,11,gid_2016_04_09_lanmlb_sfnmlb_1,87.8,178.299,1522.371,0.24,8,B,Clayton Kershaw,Groundout,R
FF,-0.89,4.28,Ball,11,gid_2016_04_09_lanmlb_sfnmlb_1,90.8,168.011,1937.161,2.04,9.55,B,Clayton Kershaw,Groundout,R
FF,-0.84,2.34,"In play, out(s)",11,gid_2016_04_09_lanmlb_sfnmlb_1,91.8,174.187,1801.311,0.91,8.95,X,Clayton Kershaw,Groundout,R
FF,-0.02,4.33,Ball,15,gid_2016_04_09_lanmlb_sfnmlb_1,91.6,182.279,1628.586,-0.33,8.17,B,Clayton Kershaw,Strikeout,L
FF,-0.23,2.09,Swinging Strike,15,gid_2016_04_09_lanmlb_sfnmlb_1,92.7,176.17,2161.902,0.73,10.77,S,Clayton Kershaw,Strikeout,L
FF,-0.21,2.37,Foul,15,gid_2016_04_09_lanmlb_sfnmlb_1,93,175.979,2051.827,0.72,10.2,S,Clayton Kershaw,Strikeout,L
CU,-0.31,1.94,Called Strike,15,gid_2016_04_09_lanmlb_sfnmlb_1,73.6,3.647,1942.705,0.79,-12.37,S,Clayton Kershaw,Strikeout,L
FF,-0.87,1.94,Foul,16,gid_2016_04_09_lanmlb_sfnmlb_1,92.7,165.742,2103.839,2.59,10.16,S,Clayton Kershaw,Flyout,R
SL,-0.32,4.64,Ball,16,gid_2016_04_09_lanmlb_sfnmlb_1,87.7,226.849,879.788,-3.4,3.14,B,Clayton Kershaw,Flyout,R
SL,-0.71,3.37,"In play, out(s)",16,gid_2016_04_09_lanmlb_sfnmlb_1,87.1,229.014,603.453,-2.38,2.03,X,Clayton Kershaw,Flyout,R
FF,-0.37,3.64,Foul,17,gid_2016_04_09_lanmlb_sfnmlb_1,92.6,169.892,2095.116,1.85,10.34,S,Clayton Kershaw,Home Run,R
SL,-0.86,1.63,Ball,17,gid_2016_04_09_lanmlb_sfnmlb_1,87.5,200.852,1117.022,-2.1,5.46,B,Clayton Kershaw,Home Run,R
FF,-0.45,2.89,"In play, run(s)",17,gid_2016_04_09_lanmlb_sfnmlb_1,93.2,169.286,2220.37,2.06,10.84,X,Clayton Kershaw,Home Run,R
FF,-0.6,2.56,Foul,18,gid_2016_04_09_lanmlb_sfnmlb_1,92.7,165.992,1916.339,2.34,9.31,S,Clayton Kershaw,Groundout,R
CU,0.18,0.71,Ball,18,gid_2016_04_09_lanmlb_sfnmlb_1,74.6,356.285,1596.671,-0.65,-10.06,B,Clayton Kershaw,Groundout,R
FF,-0.85,2.59,Called Strike,18,gid_2016_04_09_lanmlb_sfnmlb_1,93.1,159.857,2085,3.61,9.79,S,Clayton Kershaw,Groundout,R
SL,0.4,2.46,"In play, out(s)",18,gid_2016_04_09_lanmlb_sfnmlb_1,88.3,180.536,955.498,-0.05,4.95,X,Clayton Kershaw,Groundout,R
FF,-0.13,3.66,Ball,26,gid_2016_04_09_lanmlb_sfnmlb_1,91.3,170.557,1983.321,1.67,10.01,B,Clayton Kershaw,Lineout,L
SL,-0.5,2.79,"In play, out(s)",26,gid_2016_04_09_lanmlb_sfnmlb_1,86.9,169.48,867.982,0.84,4.48,X,Clayton Kershaw,Lineout,L
SL,-0.39,1.69,Swinging Strike,27,gid_2016_04_09_lanmlb_sfnmlb_1,85.5,249.023,613.113,-3.1,1.14,S,Clayton Kershaw,Lineout,R
CU,0.07,-0.6,Ball,27,gid_2016_04_09_lanmlb_sfnmlb_1,74.1,358.337,1747.071,-0.32,-11.14,B,Clayton Kershaw,Lineout,R
CU,0.16,1.2,Ball,27,gid_2016_04_09_lanmlb_sfnmlb_1,73.6,3.079,1575.784,0.54,-10.08,B,Clayton Kershaw,Lineout,R
FF,-0.36,3.21,Foul,27,gid_2016_04_09_lanmlb_sfnmlb_1,91.6,173.202,2255.171,1.34,11.23,S,Clayton Kershaw,Lineout,R
FF,-0.42,2.9,"In play, out(s)",27,gid_2016_04_09_lanmlb_sfnmlb_1,92.4,177.634,2310.782,0.48,11.52,X,Clayton Kershaw,Lineout,R
FF,0.9,2.81,"In play, no out",28,gid_2016_04_09_lanmlb_sfnmlb_1,91.4,176.62,2223.52,0.67,11.21,X,Clayton Kershaw,Single,R
FF,-0.32,3,Called Strike,29,gid_2016_04_09_lanmlb_sfnmlb_1,92.8,172.962,2168.293,1.34,10.86,S,Clayton Kershaw,Strikeout,R
SL,-0.98,3.37,Called Strike,29,gid_2016_04_09_lanmlb_sfnmlb_1,87.8,205.69,707.434,-1.6,3.28,S,Clayton Kershaw,Strikeout,R
FF,0.53,3.59,Ball,29,gid_2016_04_09_lanmlb_sfnmlb_1,92,187.451,2181.801,-1.42,10.83,B,Clayton Kershaw,Strikeout,R
CU,0.03,1.12,Ball In Dirt,29,gid_2016_04_09_lanmlb_sfnmlb_1,73.7,11.722,1763.176,2.29,-11.11,B,Clayton Kershaw,Strikeout,R
SL,-0.92,1.1,Swinging Strike (Blocked),29,gid_2016_04_09_lanmlb_sfnmlb_1,88.6,235.825,668.155,-2.89,1.92,S,Clayton Kershaw,Strikeout,R
FF,1.19,3.32,Ball,34,gid_2016_04_09_lanmlb_sfnmlb_1,91.1,171.551,2240.433,1.69,11.36,B,Clayton Kershaw,Groundout,R
SL,0.66,1.79,Ball,34,gid_2016_04_09_lanmlb_sfnmlb_1,86.6,216.499,609.753,-1.95,2.59,B,Clayton Kershaw,Groundout,R
SL,-0.25,3.21,Called Strike,34,gid_2016_04_09_lanmlb_sfnmlb_1,88.1,191.113,477.878,-0.48,2.4,S,Clayton Kershaw,Groundout,R
FF,-0.66,2.59,"In play, out(s)",34,gid_2016_04_09_lanmlb_sfnmlb_1,92.7,168.475,2086.494,2.08,10.15,X,Clayton Kershaw,Groundout,R
FF,-0.57,3.7,Ball,35,gid_2016_04_09_lanmlb_sfnmlb_1,92.5,167.127,2080.62,2.34,10.18,B,Clayton Kershaw,Groundout,L
SL,-0.63,1.64,Foul,35,gid_2016_04_09_lanmlb_sfnmlb_1,87.1,189.358,875.014,-0.75,4.55,S,Clayton Kershaw,Groundout,L
SL,-0.61,1.44,"In play, out(s)",35,gid_2016_04_09_lanmlb_sfnmlb_1,87.1,231.214,650.991,-2.7,2.13,X,Clayton Kershaw,Groundout,L
SL,1,0.77,Ball,36,gid_2016_04_09_lanmlb_sfnmlb_1,87.1,220.231,1253.762,-4.33,5.07,B,Clayton Kershaw,Flyout,R
FF,-0.52,2.55,Foul,36,gid_2016_04_09_lanmlb_sfnmlb_1,92.7,170.583,2195.94,1.8,10.85,S,Clayton Kershaw,Flyout,R
FF,-0.4,3.48,"In play, out(s)",36,gid_2016_04_09_lanmlb_sfnmlb_1,91.9,178.519,1998.538,0.26,10.11,X,Clayton Kershaw,Flyout,R
FF,0.49,2.64,Ball,40,gid_2016_04_09_lanmlb_sfnmlb_1,91.6,172.127,2281.801,1.61,11.61,B,Clayton Kershaw,Strikeout,R
SL,-0.26,1.15,Swinging Strike,40,gid_2016_04_09_lanmlb_sfnmlb_1,84.3,219.663,486.194,-1.72,2.03,S,Clayton Kershaw,Strikeout,R
SL,-1.04,1.34,Ball,40,gid_2016_04_09_lanmlb_sfnmlb_1,86.3,225.866,408.245,-1.58,1.49,B,Clayton Kershaw,Strikeout,R
SL,1.12,2.1,Swinging Strike,40,gid_2016_04_09_lanmlb_sfnmlb_1,87,194.742,840.767,-1.14,4.29,S,Clayton Kershaw,Strikeout,R
SL,0.49,2.04,Swinging Strike,40,gid_2016_04_09_lanmlb_sfnmlb_1,85.2,220.864,562.681,-2.01,2.28,S,Clayton Kershaw,Strikeout,R
FF,-0.73,3.26,"In play, run(s)",41,gid_2016_04_09_lanmlb_sfnmlb_1,91.9,161.594,2413.79,3.93,11.77,X,Clayton Kershaw,Home Run,R
FF,0.45,2.19,Called Strike,42,gid_2016_04_09_lanmlb_sfnmlb_1,91.8,174.773,2525.444,1.16,12.64,S,Clayton Kershaw,Groundout,L
CU,0.18,1.47,"In play, out(s)",42,gid_2016_04_09_lanmlb_sfnmlb_1,72.8,342.93,1707.817,-3.18,-10.43,X,Clayton Kershaw,Groundout,L
FF,0.42,2.38,Called Strike,43,gid_2016_04_09_lanmlb_sfnmlb_1,92.3,171.877,2301.754,1.64,11.47,S,Clayton Kershaw,Strikeout,R
FF,0.73,2.46,Called Strike,43,gid_2016_04_09_lanmlb_sfnmlb_1,91.8,175.704,2190.054,0.83,11,S,Clayton Kershaw,Strikeout,R
CU,-0.28,0.66,Ball,43,gid_2016_04_09_lanmlb_sfnmlb_1,73.2,6.577,1487.628,1.09,-9.59,B,Clayton Kershaw,Strikeout,R
CU,0.3,1.3,Ball,43,gid_2016_04_09_lanmlb_sfnmlb_1,73.6,4.268,1678.048,0.8,-10.77,B,Clayton Kershaw,Strikeout,R
SL,-1.42,0.78,Ball,43,gid_2016_04_09_lanmlb_sfnmlb_1,89.1,198.344,994.184,-1.61,4.81,B,Clayton Kershaw,Strikeout,R
SL,-0.3,0.47,Swinging Strike (Blocked),43,gid_2016_04_09_lanmlb_sfnmlb_1,87.3,241.304,817.242,-3.86,2.07,S,Clayton Kershaw,Strikeout,R
CU,0.16,4.69,Ball,48,gid_2016_04_09_lanmlb_sfnmlb_1,71.3,356.254,1317.493,-0.56,-8.68,B,Clayton Kershaw,Flyout,R
SL,0.47,3.44,Called Strike,48,gid_2016_04_09_lanmlb_sfnmlb_1,87,215.729,746.154,-2.29,3.14,S,Clayton Kershaw,Flyout,R
