Name,Team,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,playerid
Buster Posey,Giants,0.295,0.681,0.472,0.782,0.915,0.870,0.458,0.606,0.061,9166
Danny Valencia,Athletics,0.299,0.624,0.441,0.518,0.858,0.728,0.437,0.592,0.120,6364
Jonathan Lucroy,- - -,0.300,0.577,0.431,0.708,0.882,0.818,0.474,0.570,0.078,7870
Wilson Ramos,Nationals,0.302,0.732,0.503,0.683,0.884,0.819,0.467,0.608,0.091,1433
Francisco Lindor,Indians,0.303,0.697,0.473,0.714,0.906,0.836,0.432,0.597,0.077,12916
Hanley Ramirez,Red Sox,0.304,0.681,0.468,0.620,0.869,0.778,0.435,0.611,0.103,8001
Melvin Upton Jr.,- - -,0.304,0.714,0.501,0.553,0.737,0.679,0.480,0.655,0.161,5015
Nelson Cruz,Mariners,0.305,0.707,0.478,0.530,0.833,0.722,0.428,0.577,0.132,2434
Howie Kendrick,Dodgers,0.306,0.688,0.481,0.651,0.889,0.808,0.459,0.637,0.092,4229
Kole Calhoun,Angels,0.307,0.748,0.495,0.575,0.868,0.763,0.427,0.618,0.117,11200
Kris Bryant,Cubs,0.308,0.742,0.488,0.598,0.811,0.733,0.416,0.598,0.130,15429
Brandon Crawford,Giants,0.308,0.786,0.514,0.560,0.841,0.745,0.430,0.563,0.129,5343
Ian Desmond,Rangers,0.308,0.640,0.465,0.556,0.834,0.737,0.472,0.657,0.122,6885
Gregory Polanco,Pirates,0.310,0.701,0.462,0.668,0.915,0.814,0.388,0.535,0.085,12907
Adam Eaton,White Sox,0.311,0.665,0.467,0.754,0.901,0.846,0.440,0.606,0.072,11205
Carlos Beltran,- - -,0.312,0.662,0.460,0.692,0.913,0.827,0.423,0.585,0.079,589
Jean Segura,Diamondbacks,0.312,0.640,0.465,0.713,0.923,0.849,0.469,0.597,0.070,5933
Khris Davis,Athletics,0.313,0.767,0.520,0.515,0.762,0.682,0.457,0.639,0.166,9112
Addison Russell,Cubs,0.316,0.728,0.501,0.606,0.806,0.737,0.451,0.641,0.131,14106
Cheslor Cuthbert,Royals,0.317,0.695,0.492,0.631,0.868,0.786,0.463,0.628,0.105,10473
Adrian Gonzalez,Dodgers,0.321,0.733,0.487,0.667,0.871,0.790,0.402,0.561,0.101,1908
Albert Pujols,Angels,0.321,0.639,0.462,0.752,0.923,0.857,0.442,0.559,0.066,1177
Anthony Rizzo,Cubs,0.322,0.642,0.452,0.698,0.909,0.820,0.405,0.573,0.081,3473
Corey Seager,Dodgers,0.322,0.790,0.529,0.594,0.884,0.786,0.443,0.608,0.113,13624
Manny Machado,Orioles,0.323,0.723,0.497,0.665,0.873,0.797,0.436,0.599,0.100,11493
Brad Miller,Rays,0.324,0.716,0.491,0.652,0.818,0.756,0.427,0.609,0.120,12775
Freddie Freeman,Braves,0.324,0.807,0.526,0.601,0.794,0.725,0.417,0.580,0.141,5361
J.T. Realmuto,Marlins,0.325,0.664,0.481,0.707,0.891,0.824,0.460,0.633,0.085,11739
Stephen Vogt,Athletics,0.325,0.611,0.454,0.735,0.908,0.840,0.452,0.596,0.073,5000
Todd Frazier,White Sox,0.326,0.656,0.467,0.602,0.819,0.733,0.428,0.607,0.125,785
Victor Martinez,Tigers,0.327,0.667,0.469,0.751,0.906,0.844,0.420,0.575,0.073,393
Travis Shaw,Red Sox,0.327,0.686,0.480,0.656,0.853,0.776,0.426,0.574,0.107,11982
Jose Altuve,Astros,0.327,0.712,0.491,0.777,0.913,0.861,0.426,0.611,0.067,5417
Asdrubal Cabrera,Mets,0.328,0.734,0.505,0.628,0.884,0.791,0.437,0.597,0.105,4962
Ender Inciarte,Braves,0.328,0.631,0.461,0.833,0.949,0.903,0.437,0.602,0.044,4922
Miguel Cabrera,Tigers,0.329,0.729,0.495,0.683,0.859,0.791,0.417,0.585,0.102,1744
Marcell Ozuna,Marlins,0.329,0.665,0.471,0.588,0.863,0.752,0.422,0.632,0.116,10324
Leonys Martin,Mariners,0.330,0.688,0.492,0.560,0.812,0.719,0.453,0.653,0.138,11846
Jay Bruce,- - -,0.330,0.773,0.518,0.627,0.846,0.765,0.423,0.571,0.120,9892
Stephen Piscotty,Cardinals,0.331,0.754,0.523,0.607,0.845,0.763,0.455,0.624,0.124,13367
J.D. Martinez,Tigers,0.332,0.771,0.525,0.524,0.845,0.732,0.440,0.615,0.141,6184
Danny Espinosa,Nationals,0.332,0.696,0.486,0.506,0.806,0.688,0.423,0.544,0.149,9219
Kendrys Morales,Royals,0.334,0.687,0.481,0.626,0.879,0.776,0.416,0.553,0.107,8610
Nomar Mazara,Rangers,0.334,0.613,0.447,0.689,0.903,0.807,0.403,0.581,0.086,14553
Daniel Murphy,Nationals,0.335,0.648,0.468,0.791,0.956,0.888,0.426,0.560,0.052,4316
Evan Longoria,Rays,0.337,0.672,0.488,0.626,0.832,0.754,0.452,0.616,0.119,9368
Mark Trumbo,Orioles,0.338,0.699,0.494,0.573,0.820,0.724,0.432,0.636,0.136,6876
Xander Bogaerts,Red Sox,0.338,0.591,0.454,0.684,0.907,0.817,0.455,0.591,0.083,12161
Eric Hosmer,Royals,0.339,0.705,0.488,0.584,0.872,0.754,0.408,0.559,0.119,3516
Adeiny Hechavarria,Marlins,0.339,0.678,0.502,0.760,0.909,0.856,0.479,0.605,0.071,10459
Charlie Blackmon,Rockies,0.340,0.638,0.469,0.749,0.915,0.847,0.433,0.546,0.072,7859
Adam Duvall,Reds,0.341,0.697,0.498,0.571,0.859,0.748,0.440,0.638,0.125,10950
Mitch Moreland,Rangers,0.341,0.714,0.489,0.589,0.839,0.734,0.396,0.529,0.129,3086
Nolan Arenado,Rockies,0.342,0.686,0.488,0.708,0.901,0.823,0.426,0.601,0.085,9777
Scooter Gennett,Brewers,0.343,0.730,0.505,0.674,0.872,0.794,0.420,0.616,0.104,10339
Maikel Franco,Phillies,0.345,0.744,0.521,0.615,0.863,0.771,0.440,0.613,0.118,12179
Yoenis Cespedes,Mets,0.346,0.658,0.476,0.661,0.872,0.783,0.416,0.593,0.102,13110
Odubel Herrera,Phillies,0.346,0.683,0.484,0.673,0.858,0.780,0.409,0.587,0.106,11476
Alexei Ramirez,- - -,0.348,0.658,0.488,0.730,0.912,0.841,0.452,0.636,0.077,5133
Melky Cabrera,White Sox,0.348,0.686,0.491,0.801,0.929,0.876,0.421,0.554,0.061,4022
Marwin Gonzalez,Astros,0.357,0.651,0.484,0.578,0.876,0.751,0.434,0.643,0.120,5497
Yadier Molina,Cardinals,0.360,0.727,0.534,0.814,0.896,0.867,0.473,0.625,0.071,7007
Jose Iglesias,Tigers,0.361,0.536,0.441,0.838,0.969,0.911,0.457,0.604,0.039,10231
Ryan Braun,Brewers,0.362,0.744,0.518,0.680,0.895,0.806,0.408,0.594,0.099,3410
Adrian Beltre,Rangers,0.364,0.660,0.492,0.797,0.897,0.855,0.430,0.603,0.071,639
Carlos Gonzalez,Rockies,0.364,0.744,0.516,0.568,0.821,0.714,0.399,0.573,0.147,7287
Starlin Castro,Yankees,0.364,0.692,0.517,0.648,0.862,0.782,0.466,0.631,0.113,4579
Josh Harrison,Pirates,0.371,0.725,0.543,0.779,0.846,0.822,0.485,0.657,0.097,8202
Kevin Pillar,Blue Jays,0.371,0.623,0.489,0.699,0.905,0.822,0.470,0.647,0.087,12434
Robinson Cano,Mariners,0.373,0.714,0.514,0.712,0.932,0.838,0.415,0.597,0.082,3269
Eduardo Nunez,- - -,0.386,0.704,0.530,0.765,0.911,0.852,0.452,0.637,0.078,6848
Adonis Garcia,Braves,0.388,0.703,0.528,0.693,0.879,0.803,0.446,0.629,0.103,13777
Alcides Escobar,Royals,0.391,0.693,0.529,0.708,0.866,0.803,0.456,0.676,0.104,6310
Starling Marte,Pirates,0.392,0.740,0.541,0.619,0.865,0.763,0.427,0.605,0.127,9241
Jose Abreu,White Sox,0.397,0.693,0.516,0.659,0.875,0.776,0.402,0.593,0.115,15676
Didi Gregorius,Yankees,0.401,0.748,0.554,0.717,0.906,0.829,0.440,0.618,0.094,6012
Freddy Galvis,Phillies,0.404,0.682,0.527,0.708,0.885,0.810,0.442,0.598,0.099,6609
Matt Kemp,- - -,0.407,0.750,0.554,0.583,0.830,0.726,0.429,0.632,0.150,5631
Brandon Phillips,Reds,0.417,0.772,0.578,0.697,0.900,0.820,0.453,0.658,0.104,791
Rougned Odor,Rangers,0.418,0.713,0.543,0.650,0.882,0.779,0.425,0.614,0.120,12282
Yasmany Tomas,Diamondbacks,0.424,0.803,0.580,0.576,0.824,0.717,0.412,0.711,0.163,17171
Jonathan Schoop,Orioles,0.430,0.814,0.602,0.558,0.844,0.731,0.448,0.662,0.162,11265
Corey Dickerson,Rays,0.440,0.760,0.564,0.696,0.767,0.733,0.389,0.624,0.149,10762
Salvador Perez,Royals,0.442,0.701,0.552,0.658,0.904,0.790,0.422,0.669,0.115,7304
Adam Jones,Orioles,0.448,0.828,0.606,0.612,0.856,0.751,0.416,0.631,0.151,6368
