Name,Team,G,PA,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Mike Trout,Angels,159,681,29,123,100,30,0.170,0.201,0.235,0.371,0.315,0.441,0.55,0.418,171,9.3,67.7,0.7,9.4,10155
Kris Bryant,Cubs,155,699,39,121,102,8,0.107,0.220,0.262,0.332,0.292,0.385,0.554,0.396,149,7.3,49.1,11,8.4,15429
Mookie Betts,Red Sox,158,730,31,122,113,26,0.067,0.110,0.216,0.322,0.318,0.363,0.534,0.379,135,9.8,40.7,10.6,7.8,13611
Josh Donaldson,Blue Jays,155,700,37,122,99,7,0.156,0.170,0.265,0.3,0.284,0.404,0.549,0.403,155,0.2,46.3,4.2,7.6,5038
Corey Seager,Dodgers,157,687,26,105,72,3,0.079,0.194,0.204,0.355,0.308,0.365,0.512,0.372,137,2.6,33.9,17.5,7.5,13624
Jose Altuve,Astros,161,717,24,108,96,30,0.084,0.098,0.194,0.347,0.338,0.396,0.531,0.391,150,0.2,43.3,-2.5,6.7,5417
Manny Machado,Orioles,157,696,37,105,96,0,0.069,0.172,0.239,0.309,0.294,0.343,0.533,0.366,129,-0.4,23.7,15.9,6.5,11493
Francisco Lindor,Indians,158,684,15,99,78,19,0.083,0.129,0.134,0.324,0.301,0.358,0.435,0.34,112,1,10.8,27.7,6.3,12916
Freddie Freeman,Braves,158,693,34,102,91,6,0.128,0.247,0.267,0.37,0.302,0.4,0.569,0.402,152,1.1,45.5,-7.7,6.1,5361
Adrian Beltre,Rangers,153,640,32,89,104,1,0.075,0.103,0.221,0.293,0.3,0.358,0.521,0.371,130,-0.8,22.6,15.2,6.1,639
Adam Eaton,White Sox,157,706,14,91,59,14,0.089,0.163,0.144,0.329,0.284,0.362,0.428,0.344,115,4.4,16.8,18,6,11205
Robinson Cano,Mariners,161,715,39,107,103,0,0.066,0.140,0.235,0.299,0.298,0.35,0.533,0.37,138,-1.8,30.5,3.4,6,3269
Brian Dozier,Twins,155,691,42,104,99,18,0.088,0.200,0.278,0.28,0.268,0.34,0.546,0.37,132,5.5,31.9,2.3,5.9,9810
Ian Kinsler,Tigers,153,679,28,117,83,14,0.066,0.169,0.196,0.314,0.288,0.348,0.484,0.356,123,3.6,22.8,10.6,5.8,6195
Brandon Crawford,Giants,155,623,12,67,84,7,0.091,0.185,0.156,0.322,0.275,0.342,0.43,0.327,107,3.4,8.4,28,5.8,5343
Justin Turner,Dodgers,151,622,27,79,90,4,0.077,0.172,0.218,0.293,0.275,0.339,0.493,0.353,124,0.2,18.6,16,5.6,5235
Daniel Murphy,Nationals,142,582,25,88,104,5,0.060,0.098,0.249,0.348,0.347,0.39,0.595,0.408,156,3.4,43.3,-7.6,5.5,4316
Kyle Seager,Mariners,158,676,30,89,99,3,0.102,0.160,0.221,0.295,0.278,0.359,0.499,0.363,133,-2,24.4,6,5.5,9785
Dustin Pedroia,Red Sox,154,698,15,105,74,7,0.087,0.105,0.131,0.339,0.318,0.376,0.449,0.358,120,-4.5,12.7,14.8,5.2,8370
Nolan Arenado,Rockies,160,696,41,116,133,2,0.098,0.148,0.275,0.293,0.294,0.362,0.57,0.386,124,-1.1,19.8,8.6,5.2,9777
Anthony Rizzo,Cubs,155,676,32,94,109,3,0.109,0.160,0.252,0.309,0.292,0.385,0.544,0.391,145,-2.8,34.6,-5.8,5.2,3473
Jean Segura,Diamondbacks,153,694,20,102,64,33,0.056,0.146,0.181,0.353,0.319,0.368,0.499,0.371,126,5.1,27.7,-1,5,5933
Joey Votto,Reds,158,677,29,101,97,8,0.160,0.177,0.225,0.366,0.326,0.434,0.55,0.413,158,-2.7,45.7,-18.7,5,4314
Carlos Correa,Astros,153,660,20,76,96,13,0.114,0.211,0.177,0.328,0.274,0.361,0.451,0.349,122,4,21.1,4.7,4.9,14162
Miguel Cabrera,Tigers,158,679,38,92,108,0,0.110,0.171,0.247,0.336,0.316,0.393,0.563,0.399,152,-10,32.8,-8.4,4.9,1744
Jackie Bradley Jr.,Red Sox,156,636,26,94,87,9,0.099,0.225,0.219,0.312,0.267,0.349,0.486,0.354,118,5.2,18.8,6.9,4.8,12984
Jason Kipnis,Indians,156,688,23,91,82,15,0.087,0.212,0.193,0.324,0.275,0.343,0.469,0.347,117,1.1,14.8,9.1,4.8,9776
Paul Goldschmidt,Diamondbacks,158,705,24,106,95,32,0.156,0.213,0.192,0.358,0.297,0.411,0.489,0.382,134,5.4,34.6,-10.4,4.8,9218
Jose Ramirez,Indians,152,618,11,84,76,22,0.071,0.100,0.15,0.333,0.312,0.363,0.462,0.355,122,8.8,24.9,0.5,4.8,13510
Xander Bogaerts,Red Sox,157,719,21,115,89,13,0.081,0.171,0.152,0.335,0.294,0.356,0.446,0.348,113,6.1,17.7,4.2,4.7,12161
Dexter Fowler,Cubs,125,551,13,84,48,13,0.143,0.225,0.171,0.35,0.276,0.393,0.447,0.367,129,6.2,25.8,2.7,4.7,4062
Anthony Rendon,Nationals,156,647,20,91,85,12,0.100,0.181,0.18,0.304,0.27,0.348,0.45,0.342,112,3.2,12.4,12.9,4.7,12861
Jonathan Lucroy,- - -,142,544,24,67,81,5,0.086,0.184,0.208,0.322,0.292,0.355,0.5,0.362,123,-0.7,14.2,12.5,4.5,7870
Evan Longoria,Rays,160,685,36,81,98,0,0.061,0.210,0.248,0.298,0.273,0.318,0.521,0.35,123,0.1,18.8,2,4.5,9368
George Springer,Astros,162,744,29,116,82,9,0.118,0.239,0.196,0.317,0.261,0.359,0.457,0.353,124,-0.4,21.3,-2.9,4.5,12856
David Ortiz,Red Sox,151,626,38,79,127,2,0.128,0.137,0.305,0.312,0.315,0.401,0.62,0.419,163,-9.9,37.1,-15.2,4.4,745
Cesar Hernandez,Phillies,155,622,6,67,39,17,0.106,0.186,0.099,0.363,0.294,0.371,0.393,0.335,108,1,7.1,16.1,4.4,10556
Brandon Belt,Giants,156,655,17,77,82,0,0.159,0.226,0.199,0.346,0.275,0.394,0.474,0.374,138,-2.8,28,-6,4.4,10264
Christian Yelich,Marlins,155,659,21,78,98,9,0.109,0.209,0.185,0.356,0.298,0.376,0.483,0.367,130,2.5,27,-5.3,4.4,11477
Nelson Cruz,Mariners,155,667,43,96,105,2,0.093,0.238,0.268,0.32,0.287,0.36,0.555,0.383,147,-3.3,34,-15.6,4.2,2434
DJ LeMahieu,Rockies,146,635,11,104,66,11,0.104,0.126,0.147,0.388,0.348,0.416,0.495,0.391,128,-0.4,21.5,-0.9,4.2,9874
Buster Posey,Giants,146,614,14,82,80,6,0.104,0.111,0.147,0.303,0.288,0.362,0.434,0.341,116,-3.1,9.1,10.8,4,9166
Ben Zobrist,Cubs,147,631,18,94,76,6,0.152,0.130,0.174,0.29,0.272,0.386,0.446,0.36,124,1.7,20.6,-1.5,4,7435
Starling Marte,Pirates,129,529,9,71,46,47,0.043,0.197,0.145,0.38,0.311,0.362,0.456,0.351,121,7,20.7,1.4,4,9241
Kole Calhoun,Angels,157,672,18,91,75,2,0.100,0.176,0.167,0.309,0.271,0.348,0.438,0.34,118,1.7,16,-0.1,4,11200
Addison Russell,Cubs,151,598,21,67,95,5,0.092,0.226,0.179,0.277,0.238,0.321,0.417,0.316,95,1.3,-2.4,21.9,3.9,14106
Charlie Blackmon,Rockies,143,641,29,111,82,17,0.067,0.159,0.228,0.35,0.324,0.381,0.552,0.394,130,3.1,26.5,-8.4,3.9,7859
Edwin Encarnacion,Blue Jays,160,702,42,99,127,2,0.124,0.197,0.266,0.27,0.263,0.357,0.529,0.373,134,-2.1,26.9,-13.1,3.9,2151
Odubel Herrera,Phillies,159,656,15,87,49,25,0.096,0.204,0.134,0.349,0.286,0.361,0.42,0.338,110,2.6,10.6,6.1,3.8,11476
Wil Myers,Padres,157,676,28,99,94,28,0.101,0.237,0.202,0.305,0.259,0.336,0.461,0.341,115,7.8,20.4,-4.4,3.8,10047
Carlos Santana,Indians,158,688,34,89,87,5,0.144,0.144,0.239,0.258,0.259,0.366,0.498,0.37,132,-0.9,25.6,-12.5,3.7,2396
Ender Inciarte,Braves,131,578,3,85,29,16,0.078,0.118,0.09,0.329,0.291,0.351,0.381,0.319,97,4.3,1.8,14.8,3.6,4922
Bryce Harper,Nationals,147,627,24,84,86,21,0.172,0.187,0.198,0.264,0.243,0.373,0.441,0.343,112,2.4,11.8,2.3,3.5,11579
J.T. Realmuto,Marlins,137,545,11,60,48,12,0.051,0.183,0.126,0.357,0.303,0.343,0.428,0.333,107,1.2,6.2,10.3,3.5,11739
Wilson Ramos,Nationals,131,523,22,58,80,0,0.067,0.151,0.189,0.327,0.307,0.354,0.496,0.361,124,-6.9,8.7,8.4,3.5,1433
Ian Desmond,Rangers,156,677,22,107,86,21,0.065,0.236,0.162,0.35,0.285,0.335,0.446,0.336,106,5.7,10.5,-0.8,3.3,6885
Martin Prado,Marlins,153,658,8,70,75,2,0.074,0.105,0.112,0.331,0.305,0.359,0.417,0.335,109,-1.7,5.4,5.5,3.2,3312
Ryan Braun,Brewers,135,564,30,80,91,16,0.082,0.174,0.233,0.326,0.305,0.365,0.538,0.378,133,-0.4,22.5,-8.8,3.2,3410
Kevin Pillar,Blue Jays,146,584,7,59,53,14,0.041,0.154,0.109,0.306,0.266,0.303,0.376,0.295,80,1.8,-11.9,23.6,3.2,12434
Matt Carpenter,Cardinals,129,566,21,81,68,0,0.143,0.191,0.235,0.307,0.271,0.38,0.505,0.375,135,-3.1,21.6,-8.7,3.2,8090
Yoenis Cespedes,Mets,132,543,31,72,86,3,0.094,0.199,0.251,0.298,0.28,0.354,0.53,0.369,134,-0.2,22.8,-9.2,3.2,13110
Jonathan Villar,Brewers,156,679,19,92,63,62,0.116,0.256,0.171,0.373,0.285,0.369,0.457,0.356,118,3.2,18.3,-10.4,3,10071
Asdrubal Cabrera,Mets,141,568,23,65,62,5,0.067,0.181,0.194,0.31,0.28,0.336,0.474,0.345,119,-3.7,9.2,1.8,3,4962
Troy Tulowitzki,Blue Jays,131,544,24,54,79,1,0.079,0.186,0.189,0.272,0.254,0.318,0.443,0.327,102,-2.7,-1.2,10.4,2.8,3531
Adam Duvall,Reds,150,608,33,85,103,6,0.067,0.270,0.257,0.275,0.241,0.297,0.498,0.333,104,0.8,4,4.4,2.8,10950
Logan Forsythe,Rays,127,567,20,76,52,6,0.081,0.224,0.18,0.314,0.264,0.333,0.444,0.336,113,0.3,9.2,-1.5,2.8,7185
Stephen Piscotty,Cardinals,153,649,22,86,85,7,0.079,0.205,0.184,0.319,0.273,0.343,0.457,0.345,115,-3.4,8.9,-2.6,2.8,13367
Chris Davis,Orioles,157,665,38,99,84,1,0.132,0.329,0.239,0.279,0.221,0.332,0.459,0.34,111,4.3,13.1,-8.9,2.7,9272
Eduardo Nunez,- - -,141,595,16,73,67,40,0.049,0.148,0.145,0.314,0.288,0.325,0.432,0.324,102,2.8,3.9,2.6,2.7,6848
Didi Gregorius,Yankees,153,597,20,68,70,7,0.032,0.137,0.171,0.29,0.276,0.304,0.447,0.319,98,3.6,2,3.8,2.7,6012
Curtis Granderson,Mets,150,633,30,88,59,4,0.117,0.205,0.228,0.254,0.237,0.335,0.464,0.339,114,2.1,13.2,-7.6,2.6,4747
Chase Headley,Yankees,140,529,14,58,51,8,0.096,0.223,0.133,0.303,0.251,0.329,0.383,0.311,92,3.9,-1,8.5,2.6,4720
Hanley Ramirez,Red Sox,147,620,30,81,111,9,0.097,0.194,0.219,0.315,0.286,0.361,0.505,0.367,127,-1.4,18.6,-14.5,2.6,8001
Khris Davis,Athletics,150,610,42,85,102,1,0.069,0.272,0.277,0.27,0.247,0.307,0.524,0.349,123,-2.9,14,-10,2.5,9112
Gregory Polanco,Pirates,144,587,22,79,86,17,0.090,0.203,0.205,0.291,0.258,0.323,0.463,0.331,108,0.4,6,0.1,2.5,12907
Jake Lamb,Diamondbacks,151,594,29,81,91,6,0.108,0.259,0.26,0.294,0.249,0.332,0.509,0.352,114,4.5,14.7,-9,2.5,13329
Zack Cozart,Reds,121,508,16,67,50,4,0.073,0.165,0.172,0.274,0.252,0.308,0.425,0.312,91,-0.4,-6.4,14.5,2.5,2616
Marcus Semien,Athletics,159,621,27,72,75,10,0.082,0.224,0.197,0.268,0.238,0.3,0.435,0.315,100,-0.3,-0.6,3.4,2.5,12533
Brett Gardner,Yankees,148,634,7,80,41,16,0.110,0.167,0.101,0.31,0.261,0.351,0.362,0.317,97,7.3,4.9,-2.6,2.4,9927
Marcell Ozuna,Marlins,148,608,23,75,76,0,0.071,0.189,0.187,0.296,0.266,0.321,0.452,0.33,105,-0.8,2.9,1.6,2.4,10324
Yadier Molina,Cardinals,147,581,8,56,58,3,0.067,0.108,0.12,0.335,0.307,0.36,0.427,0.342,113,-8.7,0.7,4.7,2.4,7007
Todd Frazier,White Sox,158,666,40,89,98,15,0.096,0.245,0.239,0.236,0.225,0.302,0.464,0.326,102,0.8,2.7,-2.1,2.4,785
Freddy Galvis,Phillies,158,624,20,61,67,17,0.040,0.218,0.158,0.28,0.241,0.274,0.399,0.284,74,1.2,-18.7,22,2.4,6609
Carlos Beltran,- - -,151,593,29,73,93,1,0.059,0.170,0.217,0.315,0.295,0.337,0.513,0.358,124,-3.9,13.1,-10.8,2.3,589
Leonys Martin,Mariners,143,576,15,72,47,24,0.076,0.259,0.131,0.313,0.247,0.306,0.378,0.298,88,4.6,-3.8,5.8,2.2,11846
Salvador Perez,Royals,139,546,22,57,64,0,0.040,0.218,0.191,0.28,0.247,0.288,0.438,0.308,88,-4.1,-11.8,14.7,2.2,7304
