pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel,Pitcher,Swing,Miss
SL,2020-08-08,87.5,1.49087062225456,6.14847092490945,Mauricio Dubon,643289,477132,null,foul,NA,NA,NA,NA,13,null,R,R,L,LAD,SF,S,null,null,2,2,2020,-0.635244198620659,0.362004861173596,-0.93,1.22,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-4.54248342449992,-127.367568016759,-6.51574399817415,-5.99484641530496,25.9242854090233,-27.1013207236104,3.26,1.53,12,78.9,-7,87.65,2725,6.34648708218332,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.49087062225456,null,null,null,null,null,null,null,31,6,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,0,Kershaw,1,0
CU,2020-08-08,75,1.07492795280421,6.2925713938453,Mauricio Dubon,643289,477132,null,ball,NA,NA,NA,NA,13,null,R,R,L,LAD,SF,B,null,null,1,2,2020,-0.572799287562014,-1.32540748227873,-0.51,0.15,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-2.2545974675109,-109.195342894437,-3.12668531287812,-4.11530039042289,21.0660114264403,-42.3327810921634,3.33,1.65,NA,NA,NA,74.672,2565,6.23456263913512,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.07492795280421,null,null,null,null,null,null,null,31,5,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,86.9,1.46504082948591,6.28024838136389,Mauricio Dubon,643289,477132,null,foul,NA,NA,NA,NA,7,null,R,R,L,LAD,SF,S,null,null,1,2,2020,-0.410552726294556,0.767033425660236,-0.45,1.87,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-3.73992023599351,-126.511715532774,-5.9395088035346,-3.64125871221946,25.9369394981114,-22.9260864361428,3.26,1.53,10,81.4,-12,86.701,2669,6.14660571729749,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.46504082948591,null,null,null,null,null,null,null,31,4,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,0,Kershaw,1,0
FF,2020-08-08,91.1,1.34709978951085,6.25199672200831,Mauricio Dubon,643289,477132,null,foul,NA,NA,NA,NA,8,null,R,R,L,LAD,SF,S,null,null,1,1,2020,-0.0981615461230166,1.69935110609001,0.07,2.02,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-2.9865128383308,-132.421581996808,-8.3505795482697,-0.538798364942577,27.4277341728511,-10.6001351904771,3.26,1.53,178,86.4,71,90.891,2460,6.15461494381615,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.34709978951085,null,null,null,null,null,null,null,31,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,0,Kershaw,1,0
CU,2020-08-08,73.3,1.15066660772997,6.44768667747257,Mauricio Dubon,643289,477132,null,ball,NA,NA,NA,NA,3,null,R,R,L,LAD,SF,B,null,null,0,1,2020,-0.297103959589129,-1.16652990405824,0.76,3.39,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-0.284425449769302,-106.67439027666,3.1005910252037,-2.22864489742853,17.6096434414379,-41.8260299375025,3.46,1.69,NA,NA,NA,73.047,2215,6.00210746049815,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.15066660772997,null,null,null,null,null,null,null,31,2,Curveball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
FF,2020-08-08,90.1,1.73628193674431,6.17442661584636,Mauricio Dubon,643289,477132,null,called_strike,NA,NA,NA,NA,12,null,R,R,L,LAD,SF,S,null,null,0,0,2020,0.0761416458588194,1.5521415126614,0.9,2.79,NA,NA,NA,0,5,Top,NA,NA,NA,NA,605131,NA,null,-2.23406658187389,-131.222684558341,-5.77686724169907,1.33700786610921,26.6998716360785,-13.2127836410485,3.53,1.67,NA,NA,NA,90.208,2483,6.22114022353701,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.73628193674431,null,null,null,null,null,null,null,31,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,87.4,1.46593061461452,6.1820204262524,Chadwick Tromp,644433,477132,strikeout,swinging_strike,NA,NA,NA,NA,7,Chadwick Tromp strikes out swinging.,R,R,L,LAD,SF,S,2,null,3,2,2020,-0.370124408635692,0.3998162199047,-0.43,1.69,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-3.78736795303499,-127.282710309084,-5.54071523096697,-3.32587423387567,24.2094376946758,-26.9389949775295,3.26,1.48,NA,NA,NA,87.304,2663,6.01990841529174,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.46593061461452,null,null,0.00,1,0,0,null,27,6,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,1,1
SL,2020-08-08,86,1.43805577454538,6.21563989369199,Chadwick Tromp,644433,477132,null,ball,NA,NA,NA,NA,13,null,R,R,L,LAD,SF,B,null,null,2,2,2020,-0.659389958915261,0.452611721056131,-0.26,-0.03,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-2.69227165075745,-124.995772058276,-9.49502490091926,-6.45230321562555,23.265054869249,-25.8235245505834,3.31,1.64,NA,NA,NA,86.084,2654,6.23544381888608,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.43805577454538,null,null,null,null,null,null,null,27,5,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
SL,2020-08-08,85.1,1.53043892400171,6.22462095780761,Chadwick Tromp,644433,477132,null,swinging_strike,NA,NA,NA,NA,5,null,R,R,L,LAD,SF,S,null,null,2,1,2020,-0.750667163380574,0.356347591801321,-0.25,2.43,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-2.6666351999578,-123.899310383044,-3.31137503973823,-7.21024545089494,24.5411780144724,-28.0546364440223,3.26,1.48,NA,NA,NA,84.652,2641,5.94696175791483,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.53043892400171,null,null,null,null,null,null,null,27,4,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,1,1
SL,2020-08-08,86.4,1.50797218869798,6.21771409453698,Chadwick Tromp,644433,477132,null,ball,NA,NA,NA,NA,13,null,R,R,L,LAD,SF,B,null,null,1,1,2020,-0.558034242348189,0.448507414228592,-0.29,0.84,NA,NA,NA,2,4,Top,NA,NA,NA,NA,605131,NA,null,-3.13645788481087,-125.720161517556,-7.54016903472882,-5.40893035097711,22.5012102732299,-26.2059725355423,3.32,1.65,NA,NA,NA,86.506,2668,6.09850885685552,631343,477132,605131,571970,571771,457759,621035,572041,641355,605141,1.50797218869798,null,null,null,null,null,null,null,27,3,Slider,0,2,2,0,2,0,2,0,Infield shift,Standard,NA,Kershaw,0,0
